Experience,Years_Education,Position,Industry,Salary
2,12,Software Engineer,IT,65000
5,14,Data Analyst,IT,55000
3,15,Product Manager,Marketing,80000
1,12,Junior Accountant,Finance,45000
8,18,Senior Software Engineer,IT,90000
4,16,Marketing Specialist,Marketing,60000
6,17,Financial Analyst,Finance,70000
10,20,Engineering Manager,IT,110000
7,18,Marketing Manager,Marketing,95000
9,19,Chief Financial Officer (CFO),Finance,130000
4,15,Software Engineer,IT,70000
6,13,Data Scientist,IT,85000
2,14,UX Designer,Design,60000
3,12,Graphic Designer,Design,50000
7,16,Finance Manager,Finance,90000
5,17,Project Manager,Management,75000
3,14,Marketing Coordinator,Marketing,55000
9,19,Senior Financial Analyst,Finance,105000
11,20,Software Architect,IT,120000
12,21,Marketing Director,Marketing,130000
2,12,Accountant,Finance,48000
6,15,Software Developer,IT,75000
8,18,UX/UI Designer,Design,85000
4,13,Financial Planner,Finance,60000
10,17,IT Manager,IT,100000
5,14,Market Research Analyst,Marketing,65000
7,16,Senior Accountant,Finance,80000
3,13,Web Designer,Design,55000
9,20,Data Engineer,IT,105000
11,21,Chief Marketing Officer (CMO),Marketing,140000
13,22,Chief Executive Officer (CEO),Management,200000
14,23,Chief Technology Officer (CTO),IT,180000
12,22,Chief Operating Officer (COO),Management,170000
8,19,Product Marketing Manager,Marketing,95000
6,16,Financial Controller,Finance,85000
4,14,Front-end Developer,IT,70000
10,19,Back-end Developer,IT,110000
3,12,Content Writer,Marketing,50000
7,17,HR Manager,Management,80000
5,15,HR Specialist,Management,60000
9,20,UX Researcher,Design,100000
3,15.0,Product Manager,Marketing,80000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
5,14.0,Data Analyst,IT,55000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
4,15.0,Software Engineer,IT,70000
10,20.0,Engineering Manager,IT,110000
9,19.0,Chief Financial Officer (CFO),Finance,130000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
3,15.0,Product Manager,Marketing,80000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
2,14.0,UX Designer,Design,60000
3,15.0,Product Manager,Marketing,80000
6,17.0,Financial Analyst,Finance,70000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
4,16.0,Marketing Specialist,Marketing,60000
10,20.0,Engineering Manager,IT,110000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
3,12.0,Graphic Designer,Design,50000
7,16.0,Finance Manager,Finance,90000
2,14.0,UX Designer,Design,60000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
9,19.0,Chief Financial Officer (CFO),Finance,130000
1,,,,2000
3,15.0,Product Manager,Marketing,80000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
5,14.0,Data Analyst,IT,55000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
4,15.0,Software Engineer,IT,70000
10,20.0,Engineering Manager,IT,110000
9,19.0,Chief Financial Officer (CFO),Finance,130000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
3,15.0,Product Manager,Marketing,80000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
2,14.0,UX Designer,Design,60000
3,15.0,Product Manager,Marketing,80000
6,17.0,Financial Analyst,Finance,70000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
4,16.0,Marketing Specialist,Marketing,60000
10,20.0,Engineering Manager,IT,110000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
3,12.0,Graphic Designer,Design,50000
7,16.0,Finance Manager,Finance,90000
2,14.0,UX Designer,Design,60000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
9,19.0,Chief Financial Officer (CFO),Finance,130000
1,12.0,Junior Accountant,Finance,45000
8,18.0,Senior Software Engineer,IT,90000
5,14.0,Data Analyst,IT,55000
4,16.0,Marketing Specialist,Marketing,60000
10,20.0,Engineering Manager,IT,110000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
9,19.0,Chief Financial Officer (CFO),Finance,130000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
1,12.0,Junior Accountant,Finance,45000
5,14.0,Data Analyst,IT,55000
4,15.0,Software Engineer,IT,70000
8,18.0,Senior Software Engineer,IT,90000
5,14.0,Data Analyst,IT,55000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,17.0,Financial Analyst,Finance,70000
3,15.0,Product Manager,Marketing,80000
1,12.0,Junior Accountant,Finance,45000
6,17.0,Financial Analyst,Finance,70000
10,20.0,Engineering Manager,IT,110000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
5,14.0,Data Analyst,IT,55000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,17.0,Financial Analyst,Finance,70000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
3,15.0,Product Manager,Marketing,80000
10,20.0,Engineering Manager,IT,110000
6,17.0,Financial Analyst,Finance,70000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
5,14.0,Data Analyst,IT,55000
4,15.0,Software Engineer,IT,70000
8,18.0,Senior Software Engineer,IT,90000
9,19.0,Chief Financial Officer (CFO),Finance,130000
5,14.0,Data Analyst,IT,55000
3,,,,12000
3,15.0,Product Manager,Marketing,80000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
5,14.0,Data Analyst,IT,55000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
4,15.0,Software Engineer,IT,70000
10,20.0,Engineering Manager,IT,110000
9,19.0,Chief Financial Officer (CFO),Finance,130000
8,18.0,Senior Software Engineer,IT,90000
6,17.0,Financial Analyst,Finance,70000
3,15.0,Product Manager,Marketing,80000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
2,14.0,UX Designer,Design,60000
3,15.0,Product Manager,Marketing,80000
6,17.0,Financial Analyst,Finance,70000
7,18.0,Marketing Manager,Marketing,95000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
4,16.0,Marketing Specialist,Marketing,60000
10,20.0,Engineering Manager,IT,110000
1,12.0,Junior Accountant,Finance,45000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,13.0,Data Scientist,IT,85000
3,12.0,Graphic Designer,Design,50000
7,16.0,Finance Manager,Finance,90000
2,14.0,UX Designer,Design,60000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
1,12.0,Junior Accountant,Finance,45000
10,20.0,Engineering Manager,IT,110000
4,16.0,Marketing Specialist,Marketing,60000
9,19.0,Chief Financial Officer (CFO),Finance,130000
1,12.0,Junior Accountant,Finance,45000
8,18.0,Senior Software Engineer,IT,90000
5,14.0,Data Analyst,IT,55000
4,16.0,Marketing Specialist,Marketing,60000
10,20.0,Engineering Manager,IT,110000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
8,18.0,Senior Software Engineer,IT,90000
4,15.0,Software Engineer,IT,70000
9,19.0,Chief Financial Officer (CFO),Finance,130000
7,18.0,Marketing Manager,Marketing,95000
6,17.0,Financial Analyst,Finance,70000
1,12.0,Junior Accountant,Finance,45000
5,14.0,Data Analyst,IT,55000
4,15.0,Software Engineer,IT,70000
8,18.0,Senior Software Engineer,IT,90000
5,14.0,Data Analyst,IT,55000
9,19.0,Chief Financial Officer (CFO),Finance,130000
6,17.0,Financial Analyst,Finance,70000
3,15.0,Product Manager,Marketing,80000
1,12.0,Junior Accountant,Finance,45000
6,17.0,Financial Analyst,Finance,70000
10,20.0,Engineering Manager,IT,110000
7,18.0,Marketing Manager,Marketing,95000
